,Año,Cantidad Transportada (MTn),Cultivo,Destino,Origen,Step From,Step To
151,2020,9e-05,Soja,Bs As,Buenos Aires,0,1
152,2016,9.134e-05,Soja,Cordoba,Buenos Aires,0,1
153,2015,2.21720772,Soja,Quequen,Buenos Aires,0,1
154,2016,2.1797220399999997,Soja,Quequen,Buenos Aires,0,1
155,2017,1.6080026399999996,Soja,Quequen,Buenos Aires,0,1
156,2018,1.08949958,Soja,Quequen,Buenos Aires,0,1
157,2019,1.4931181199999999,Soja,Quequen,Buenos Aires,0,1
158,2020,0.41623664,Soja,Quequen,Buenos Aires,0,1
159,2017,9e-05,Soja,Resto del País,Buenos Aires,0,1
160,2015,1.6107154799999996,Soja,Rosario N,Buenos Aires,0,1
161,2016,2.00858677,Soja,Rosario N,Buenos Aires,0,1
162,2017,1.3243630599999996,Soja,Rosario N,Buenos Aires,0,1
163,2018,1.6330364599999998,Soja,Rosario N,Buenos Aires,0,1
164,2019,1.9039681,Soja,Rosario N,Buenos Aires,0,1
165,2020,0.38461679000000004,Soja,Rosario N,Buenos Aires,0,1
166,2021,0.001854,Soja,Rosario N,Buenos Aires,0,1
167,2015,2.28879588,Soja,Rosario S,Buenos Aires,0,1
168,2016,2.759334850000001,Soja,Rosario S,Buenos Aires,0,1
169,2017,2.21744069,Soja,Rosario S,Buenos Aires,0,1
170,2018,1.5058343399999998,Soja,Rosario S,Buenos Aires,0,1
171,2019,1.68712708,Soja,Rosario S,Buenos Aires,0,1
172,2020,0.53675125,Soja,Rosario S,Buenos Aires,0,1
173,2022,0.0006,Soja,Rosario S,Buenos Aires,0,1
174,2015,0.0029686200000000012,Soja,Zona 1,Buenos Aires,0,1
175,2015,0.011209060000000002,Soja,Zona 10,Buenos Aires,0,1
176,2016,0.003509199999999999,Soja,Zona 10,Buenos Aires,0,1
177,2017,0.0068701,Soja,Zona 10,Buenos Aires,0,1
178,2018,0.005367630000000001,Soja,Zona 10,Buenos Aires,0,1
179,2019,0.014126740000000004,Soja,Zona 10,Buenos Aires,0,1
180,2015,0.01133485,Soja,Zona 11,Buenos Aires,0,1
181,2016,0.0020878399999999997,Soja,Zona 11,Buenos Aires,0,1
182,2017,0.017125359999999996,Soja,Zona 11,Buenos Aires,0,1
183,2018,0.01445264,Soja,Zona 11,Buenos Aires,0,1
184,2019,0.01485467,Soja,Zona 11,Buenos Aires,0,1
185,2015,0.11441790000000002,Soja,Zona 12,Buenos Aires,0,1
186,2016,0.41637177000000003,Soja,Zona 12,Buenos Aires,0,1
187,2017,0.41006957999999993,Soja,Zona 12,Buenos Aires,0,1
188,2018,0.31380790999999997,Soja,Zona 12,Buenos Aires,0,1
189,2019,0.26573132999999993,Soja,Zona 12,Buenos Aires,0,1
190,2020,0.029268,Soja,Zona 12,Buenos Aires,0,1
191,2015,0.13544351999999998,Soja,Zona 13,Buenos Aires,0,1
192,2016,0.18533418,Soja,Zona 13,Buenos Aires,0,1
193,2017,0.14367964,Soja,Zona 13,Buenos Aires,0,1
194,2018,0.10037102,Soja,Zona 13,Buenos Aires,0,1
195,2019,0.28666813,Soja,Zona 13,Buenos Aires,0,1
196,2020,0.11269781,Soja,Zona 13,Buenos Aires,0,1
197,2015,0.07071582000000001,Soja,Zona 14,Buenos Aires,0,1
198,2016,0.10495829,Soja,Zona 14,Buenos Aires,0,1
199,2017,0.07128518999999998,Soja,Zona 14,Buenos Aires,0,1
200,2018,0.031695850000000005,Soja,Zona 14,Buenos Aires,0,1
201,2019,0.034989780000000005,Soja,Zona 14,Buenos Aires,0,1
202,2020,0.012495,Soja,Zona 14,Buenos Aires,0,1
203,2015,0.00146423,Soja,Zona 15,Buenos Aires,0,1
204,2016,0.0008124400000000002,Soja,Zona 15,Buenos Aires,0,1
205,2017,0.000705,Soja,Zona 15,Buenos Aires,0,1
206,2018,0.001184,Soja,Zona 15,Buenos Aires,0,1
207,2015,0.00015,Soja,Zona 16,Buenos Aires,0,1
208,2017,0.00157463,Soja,Zona 16,Buenos Aires,0,1
209,2018,0.00036,Soja,Zona 16,Buenos Aires,0,1
210,2019,6e-05,Soja,Zona 16,Buenos Aires,0,1
211,2015,6e-05,Soja,Zona 17,Buenos Aires,0,1
212,2016,0.00180797,Soja,Zona 17,Buenos Aires,0,1
213,2017,0.0012,Soja,Zona 17,Buenos Aires,0,1
214,2018,0.00012,Soja,Zona 17,Buenos Aires,0,1
215,2019,0.00802362,Soja,Zona 17,Buenos Aires,0,1
216,2020,0.0054,Soja,Zona 17,Buenos Aires,0,1
217,2015,0.00044448,Soja,Zona 18,Buenos Aires,0,1
218,2016,0.00196951,Soja,Zona 18,Buenos Aires,0,1
219,2017,0.00429938,Soja,Zona 18,Buenos Aires,0,1
220,2018,0.00126651,Soja,Zona 18,Buenos Aires,0,1
221,2019,0.004806,Soja,Zona 18,Buenos Aires,0,1
222,2020,0.00032666000000000005,Soja,Zona 18,Buenos Aires,0,1
223,2015,0.031233870000000004,Soja,Zona 2,Buenos Aires,0,1
224,2016,0.12135302,Soja,Zona 2,Buenos Aires,0,1
225,2017,0.08869144,Soja,Zona 2,Buenos Aires,0,1
226,2018,0.025232739999999997,Soja,Zona 2,Buenos Aires,0,1
227,2019,0.03203461,Soja,Zona 2,Buenos Aires,0,1
228,2020,0.0020944899999999996,Soja,Zona 2,Buenos Aires,0,1
229,2015,0.0594568,Soja,Zona 3,Buenos Aires,0,1
230,2016,0.11563244000000002,Soja,Zona 3,Buenos Aires,0,1
231,2017,0.06389641000000001,Soja,Zona 3,Buenos Aires,0,1
232,2018,0.07968798,Soja,Zona 3,Buenos Aires,0,1
233,2019,0.18457488000000002,Soja,Zona 3,Buenos Aires,0,1
234,2020,0.047946,Soja,Zona 3,Buenos Aires,0,1
235,2015,0.08142094999999998,Soja,Zona 4,Buenos Aires,0,1
236,2016,0.08499552999999999,Soja,Zona 4,Buenos Aires,0,1
237,2017,0.14024951000000002,Soja,Zona 4,Buenos Aires,0,1
238,2018,0.07198345999999999,Soja,Zona 4,Buenos Aires,0,1
239,2019,0.05614713999999998,Soja,Zona 4,Buenos Aires,0,1
240,2020,0.005677,Soja,Zona 4,Buenos Aires,0,1
241,2015,1.1837304899999999,Soja,Zona 5,Buenos Aires,0,1
242,2016,0.97700879,Soja,Zona 5,Buenos Aires,0,1
243,2017,0.9387166800000001,Soja,Zona 5,Buenos Aires,0,1
244,2018,0.5523412499999999,Soja,Zona 5,Buenos Aires,0,1
245,2019,0.9892101200000003,Soja,Zona 5,Buenos Aires,0,1
246,2020,0.42731521,Soja,Zona 5,Buenos Aires,0,1
247,2015,1.2898138500000003,Soja,Zona 6,Buenos Aires,0,1
248,2016,1.3494418900000003,Soja,Zona 6,Buenos Aires,0,1
249,2017,0.8762210600000001,Soja,Zona 6,Buenos Aires,0,1
250,2018,0.5157712199999999,Soja,Zona 6,Buenos Aires,0,1
251,2019,0.5824135599999999,Soja,Zona 6,Buenos Aires,0,1
252,2020,0.06559393,Soja,Zona 6,Buenos Aires,0,1
253,2015,1.7735969600000001,Soja,Zona 7,Buenos Aires,0,1
254,2016,1.9261489599999992,Soja,Zona 7,Buenos Aires,0,1
255,2017,1.00931084,Soja,Zona 7,Buenos Aires,0,1
256,2018,0.5628684399999999,Soja,Zona 7,Buenos Aires,0,1
257,2019,0.4917333300000001,Soja,Zona 7,Buenos Aires,0,1
258,2020,0.0665265,Soja,Zona 7,Buenos Aires,0,1
259,2015,0.17754416999999997,Soja,Zona 8,Buenos Aires,0,1
260,2016,0.16957711999999997,Soja,Zona 8,Buenos Aires,0,1
261,2017,0.15150100000000002,Soja,Zona 8,Buenos Aires,0,1
262,2018,0.14676199000000004,Soja,Zona 8,Buenos Aires,0,1
263,2019,0.19942830000000006,Soja,Zona 8,Buenos Aires,0,1
264,2020,0.00888061,Soja,Zona 8,Buenos Aires,0,1
265,2015,0.07437254999999998,Soja,Zona 9,Buenos Aires,0,1
266,2016,0.012697440000000003,Soja,Zona 9,Buenos Aires,0,1
267,2017,0.00396374,Soja,Zona 9,Buenos Aires,0,1
268,2018,0.00500936,Soja,Zona 9,Buenos Aires,0,1
269,2019,0.0046768700000000005,Soja,Zona 9,Buenos Aires,0,1
270,2015,0.8103427200000001,Trigo,B.Blanca,Buenos Aires,0,1
271,2016,2.13872346,Trigo,B.Blanca,Buenos Aires,0,1
272,2017,2.2373526800000003,Trigo,B.Blanca,Buenos Aires,0,1
273,2018,1.5878034500000007,Trigo,B.Blanca,Buenos Aires,0,1
274,2019,1.98415,Trigo,B.Blanca,Buenos Aires,0,1
275,2020,0.59595502,Trigo,B.Blanca,Buenos Aires,0,1
276,2021,0.0003,Trigo,B.Blanca,Buenos Aires,0,1
277,2015,0.75665868,Trigo,Bs As,Buenos Aires,0,1
278,2016,0.58718501,Trigo,Bs As,Buenos Aires,0,1
279,2017,0.8325049700000001,Trigo,Bs As,Buenos Aires,0,1
280,2018,0.54242335,Trigo,Bs As,Buenos Aires,0,1
281,2019,0.65636771,Trigo,Bs As,Buenos Aires,0,1
282,2020,0.02397342,Trigo,Bs As,Buenos Aires,0,1
283,2015,0.00021132,Trigo,Cordoba,Buenos Aires,0,1
284,2016,0.00155526,Trigo,Cordoba,Buenos Aires,0,1
285,2017,0.00039,Trigo,Cordoba,Buenos Aires,0,1
286,2018,0.0009488600000000002,Trigo,Cordoba,Buenos Aires,0,1
287,2019,0.007083879999999999,Trigo,Cordoba,Buenos Aires,0,1
288,2015,0.44179457000000005,Trigo,Quequen,Buenos Aires,0,1
289,2016,1.1506425299999996,Trigo,Quequen,Buenos Aires,0,1
290,2017,1.1111752500000003,Trigo,Quequen,Buenos Aires,0,1
291,2018,0.9584075999999999,Trigo,Quequen,Buenos Aires,0,1
292,2019,1.1478336800000006,Trigo,Quequen,Buenos Aires,0,1
293,2020,0.5759782,Trigo,Quequen,Buenos Aires,0,1
294,2015,0.10571808000000002,Trigo,Rosario N,Buenos Aires,0,1
295,2016,0.1443363,Trigo,Rosario N,Buenos Aires,0,1
296,2017,0.20326752,Trigo,Rosario N,Buenos Aires,0,1
297,2018,0.21451047999999995,Trigo,Rosario N,Buenos Aires,0,1
298,2019,0.4078869,Trigo,Rosario N,Buenos Aires,0,1
299,2020,0.10457,Trigo,Rosario N,Buenos Aires,0,1
300,2015,0.09093011999999998,Trigo,Rosario S,Buenos Aires,0,1
301,2016,0.30815481000000006,Trigo,Rosario S,Buenos Aires,0,1
302,2017,0.5001678699999998,Trigo,Rosario S,Buenos Aires,0,1
303,2018,0.48801040000000007,Trigo,Rosario S,Buenos Aires,0,1
304,2019,0.7486904499999998,Trigo,Rosario S,Buenos Aires,0,1
305,2020,0.178801,Trigo,Rosario S,Buenos Aires,0,1
306,2021,0.000748,Trigo,Rosario S,Buenos Aires,0,1
307,2015,0.0029508600000000005,Trigo,Zona 1,Buenos Aires,0,1
308,2016,0.0020498400000000003,Trigo,Zona 1,Buenos Aires,0,1
309,2015,0.00125445,Trigo,Zona 10,Buenos Aires,0,1
310,2016,0.0015301400000000001,Trigo,Zona 10,Buenos Aires,0,1
311,2017,0.0017226199999999998,Trigo,Zona 10,Buenos Aires,0,1
312,2018,0.0032525200000000005,Trigo,Zona 10,Buenos Aires,0,1
313,2019,0.00855634,Trigo,Zona 10,Buenos Aires,0,1
314,2015,0.0006578999999999999,Trigo,Zona 11,Buenos Aires,0,1
315,2016,0.0023155,Trigo,Zona 11,Buenos Aires,0,1
316,2017,0.01677014,Trigo,Zona 11,Buenos Aires,0,1
317,2018,0.00578,Trigo,Zona 11,Buenos Aires,0,1
318,2019,0.006007879999999999,Trigo,Zona 11,Buenos Aires,0,1
319,2015,0.005087889999999999,Trigo,Zona 12,Buenos Aires,0,1
320,2016,0.057722840000000004,Trigo,Zona 12,Buenos Aires,0,1
321,2017,0.053989550000000004,Trigo,Zona 12,Buenos Aires,0,1
322,2018,0.01733816,Trigo,Zona 12,Buenos Aires,0,1
323,2019,0.006169610000000001,Trigo,Zona 12,Buenos Aires,0,1
324,2020,0.00177,Trigo,Zona 12,Buenos Aires,0,1
325,2015,0.0033525900000000003,Trigo,Zona 13,Buenos Aires,0,1
326,2016,0.04220586,Trigo,Zona 13,Buenos Aires,0,1
327,2017,0.035106729999999996,Trigo,Zona 13,Buenos Aires,0,1
328,2018,0.03585575,Trigo,Zona 13,Buenos Aires,0,1
329,2019,0.05129521,Trigo,Zona 13,Buenos Aires,0,1
330,2020,0.00656,Trigo,Zona 13,Buenos Aires,0,1
331,2015,0.03127452,Trigo,Zona 14,Buenos Aires,0,1
332,2016,0.02790907,Trigo,Zona 14,Buenos Aires,0,1
333,2017,0.016744870000000002,Trigo,Zona 14,Buenos Aires,0,1
334,2018,0.0064664,Trigo,Zona 14,Buenos Aires,0,1
335,2019,0.021223440000000003,Trigo,Zona 14,Buenos Aires,0,1
336,2020,0.01355,Trigo,Zona 14,Buenos Aires,0,1
337,2018,0.0008,Trigo,Zona 15,Buenos Aires,0,1
338,2019,8.4e-05,Trigo,Zona 15,Buenos Aires,0,1
339,2015,0.0004,Trigo,Zona 16,Buenos Aires,0,1
340,2016,0.0045778500000000005,Trigo,Zona 16,Buenos Aires,0,1
341,2017,0.00111,Trigo,Zona 16,Buenos Aires,0,1
342,2018,0.00684212,Trigo,Zona 16,Buenos Aires,0,1
343,2019,0.00029519999999999997,Trigo,Zona 16,Buenos Aires,0,1
344,2015,0.00477032,Trigo,Zona 17,Buenos Aires,0,1
345,2019,0.00102,Trigo,Zona 17,Buenos Aires,0,1
346,2015,0.00018429999999999998,Trigo,Zona 18,Buenos Aires,0,1
347,2016,0.00090768,Trigo,Zona 18,Buenos Aires,0,1
348,2017,0.00021386000000000002,Trigo,Zona 18,Buenos Aires,0,1
349,2018,0.00024,Trigo,Zona 18,Buenos Aires,0,1
350,2019,0.00127137,Trigo,Zona 18,Buenos Aires,0,1
351,2020,0.000668,Trigo,Zona 18,Buenos Aires,0,1
352,2015,0.21753841000000002,Trigo,Zona 2,Buenos Aires,0,1
353,2016,0.24321597999999997,Trigo,Zona 2,Buenos Aires,0,1
354,2017,0.19597002000000002,Trigo,Zona 2,Buenos Aires,0,1
355,2018,0.15613950000000004,Trigo,Zona 2,Buenos Aires,0,1
356,2019,0.12138965999999995,Trigo,Zona 2,Buenos Aires,0,1
357,2020,0.00122,Trigo,Zona 2,Buenos Aires,0,1
358,2015,0.4908677999999999,Trigo,Zona 3,Buenos Aires,0,1
359,2016,0.4537946,Trigo,Zona 3,Buenos Aires,0,1
360,2017,0.23621490999999997,Trigo,Zona 3,Buenos Aires,0,1
361,2018,0.29494008,Trigo,Zona 3,Buenos Aires,0,1
362,2019,0.32671449,Trigo,Zona 3,Buenos Aires,0,1
363,2020,0.065145,Trigo,Zona 3,Buenos Aires,0,1
364,2015,0.20234533000000002,Trigo,Zona 4,Buenos Aires,0,1
365,2016,0.16907944999999996,Trigo,Zona 4,Buenos Aires,0,1
366,2017,0.13483139000000002,Trigo,Zona 4,Buenos Aires,0,1
367,2018,0.11028632000000001,Trigo,Zona 4,Buenos Aires,0,1
368,2019,0.15005364999999998,Trigo,Zona 4,Buenos Aires,0,1
369,2020,0.006598,Trigo,Zona 4,Buenos Aires,0,1
370,2015,0.3624920400000001,Trigo,Zona 5,Buenos Aires,0,1
371,2016,0.7140616600000002,Trigo,Zona 5,Buenos Aires,0,1
372,2017,0.5856950200000001,Trigo,Zona 5,Buenos Aires,0,1
373,2018,0.6892133,Trigo,Zona 5,Buenos Aires,0,1
