,Provincia,Cultivo,LugarEntrega,Mes,Ano,CantTns,EsFinal,EleccionesNac,EleccionesPre,ProdTns,EstresClimatico,MismaProvDestino,ProvAlejada
115,BUENOS AIRES,Maiz,Bs As,9,2018.0,5614.889999999999,True,False,False,12770903.0,True,True,False
116,BUENOS AIRES,Maiz,Bs As,9,2019.0,5547.49,True,True,True,16770895.0,True,True,False
117,BUENOS AIRES,Maiz,Bs As,10,2015.0,10535.0,True,True,True,8893434.0,True,True,False
118,BUENOS AIRES,Maiz,Bs As,10,2016.0,9821.21,True,False,False,10147679.0,True,True,False
119,BUENOS AIRES,Maiz,Bs As,10,2017.0,10137.930000000002,True,True,False,12955509.0,True,True,False
120,BUENOS AIRES,Maiz,Bs As,10,2018.0,8144.39,True,False,False,12770903.0,True,True,False
121,BUENOS AIRES,Maiz,Bs As,10,2019.0,3997.28,True,True,True,16770895.0,True,True,False
122,BUENOS AIRES,Maiz,Bs As,11,2015.0,9456.119999999999,True,True,True,8893434.0,True,True,False
123,BUENOS AIRES,Maiz,Bs As,11,2016.0,8591.89,True,False,False,10147679.0,True,True,False
124,BUENOS AIRES,Maiz,Bs As,11,2017.0,13975.0,True,True,False,12955509.0,True,True,False
125,BUENOS AIRES,Maiz,Bs As,11,2018.0,8435.49,True,False,False,12770903.0,True,True,False
126,BUENOS AIRES,Maiz,Bs As,11,2019.0,3341.37,True,True,True,16770895.0,True,True,False
127,BUENOS AIRES,Maiz,Bs As,12,2015.0,31132.479999999996,True,True,True,8893434.0,True,True,False
128,BUENOS AIRES,Maiz,Bs As,12,2016.0,16504.239999999998,True,False,False,10147679.0,True,True,False
129,BUENOS AIRES,Maiz,Bs As,12,2018.0,15117.0,True,False,False,12770903.0,True,True,False
130,BUENOS AIRES,Maiz,Bs As,12,2019.0,10057.199999999999,True,True,True,16770895.0,True,True,False
131,BUENOS AIRES,Maiz,Bs As,12,2020.0,3540.0,True,False,False,,False,True,False
132,BUENOS AIRES,Maiz,Cordoba,2,2015.0,90.0,True,True,True,8893434.0,True,False,False
133,BUENOS AIRES,Maiz,Cordoba,2,2018.0,117.0,True,False,False,12770903.0,True,False,False
134,BUENOS AIRES,Maiz,Cordoba,2,2019.0,670.0,True,True,True,16770895.0,True,False,False
135,BUENOS AIRES,Maiz,Cordoba,4,2016.0,60.0,True,False,False,10147679.0,True,False,False
136,BUENOS AIRES,Maiz,Cordoba,4,2018.0,540.0,True,False,False,12770903.0,True,False,False
137,BUENOS AIRES,Maiz,Cordoba,4,2019.0,480.0,True,True,True,16770895.0,True,False,False
138,BUENOS AIRES,Maiz,Cordoba,5,2018.0,580.0,True,False,False,12770903.0,True,False,False
139,BUENOS AIRES,Maiz,Cordoba,5,2019.0,150.0,True,True,True,16770895.0,True,False,False
140,BUENOS AIRES,Maiz,Cordoba,7,2019.0,655.0,True,True,True,16770895.0,True,False,False
141,BUENOS AIRES,Maiz,Cordoba,8,2015.0,54.53,True,True,True,8893434.0,True,False,False
142,BUENOS AIRES,Maiz,Cordoba,8,2018.0,30.0,True,False,False,12770903.0,True,False,False
143,BUENOS AIRES,Maiz,Cordoba,11,2018.0,600.0,True,False,False,12770903.0,True,False,False
144,BUENOS AIRES,Maiz,Cordoba,12,2016.0,111.66,True,False,False,10147679.0,True,False,False
145,BUENOS AIRES,Maiz,Cordoba,12,2018.0,360.0,True,False,False,12770903.0,True,False,False
146,BUENOS AIRES,Maiz,Cordoba,12,2019.0,570.0,True,True,True,16770895.0,True,False,False
147,BUENOS AIRES,Maiz,Quequen,1,2015.0,179.0,True,True,True,8893434.0,True,True,False
148,BUENOS AIRES,Maiz,Quequen,1,2016.0,87.79,True,False,False,10147679.0,True,True,False
149,BUENOS AIRES,Maiz,Quequen,1,2017.0,2630.42,True,True,False,12955509.0,True,True,False
150,BUENOS AIRES,Maiz,Quequen,1,2018.0,8250.5,True,False,False,12770903.0,True,True,False
151,BUENOS AIRES,Maiz,Quequen,1,2019.0,120.0,True,True,True,16770895.0,True,True,False
152,BUENOS AIRES,Maiz,Quequen,1,2020.0,6600.0,True,False,False,,False,True,False
153,BUENOS AIRES,Maiz,Quequen,2,2015.0,11874.9,True,True,True,8893434.0,True,True,False
154,BUENOS AIRES,Maiz,Quequen,2,2016.0,20995.47,True,False,False,10147679.0,True,True,False
155,BUENOS AIRES,Maiz,Quequen,2,2017.0,9424.45,True,True,False,12955509.0,True,True,False
156,BUENOS AIRES,Maiz,Quequen,2,2018.0,21778.619999999995,True,False,False,12770903.0,True,True,False
157,BUENOS AIRES,Maiz,Quequen,2,2019.0,31968.83,True,True,True,16770895.0,True,True,False
158,BUENOS AIRES,Maiz,Quequen,2,2020.0,3497.0,True,False,False,,False,True,False
159,BUENOS AIRES,Maiz,Quequen,3,2015.0,1240.0,True,True,True,8893434.0,True,True,False
160,BUENOS AIRES,Maiz,Quequen,3,2016.0,49054.11,True,False,False,10147679.0,True,True,False
161,BUENOS AIRES,Maiz,Quequen,3,2017.0,6386.840000000001,True,True,False,12955509.0,True,True,False
162,BUENOS AIRES,Maiz,Quequen,3,2018.0,8423.74,True,False,False,12770903.0,True,True,False
163,BUENOS AIRES,Maiz,Quequen,3,2019.0,41280.469999999994,True,True,True,16770895.0,True,True,False
164,BUENOS AIRES,Maiz,Quequen,3,2020.0,3180.0,True,False,False,,False,True,False
165,BUENOS AIRES,Maiz,Quequen,4,2015.0,1280.0,True,True,True,8893434.0,True,True,False
166,BUENOS AIRES,Maiz,Quequen,4,2016.0,34245.0,True,False,False,10147679.0,True,True,False
167,BUENOS AIRES,Maiz,Quequen,4,2017.0,3521.24,True,True,False,12955509.0,True,True,False
168,BUENOS AIRES,Maiz,Quequen,4,2018.0,11407.92,True,False,False,12770903.0,True,True,False
169,BUENOS AIRES,Maiz,Quequen,4,2019.0,9918.130000000001,True,True,True,16770895.0,True,True,False
170,BUENOS AIRES,Maiz,Quequen,4,2020.0,4210.0,True,False,False,,False,True,False
171,BUENOS AIRES,Maiz,Quequen,5,2015.0,6343.35,True,True,True,8893434.0,True,True,False
172,BUENOS AIRES,Maiz,Quequen,5,2016.0,40932.46,True,False,False,10147679.0,True,True,False
173,BUENOS AIRES,Maiz,Quequen,5,2017.0,11972.8,True,True,False,12955509.0,True,True,False
174,BUENOS AIRES,Maiz,Quequen,5,2018.0,10360.73,True,False,False,12770903.0,True,True,False
175,BUENOS AIRES,Maiz,Quequen,5,2019.0,42069.91,True,True,True,16770895.0,True,True,False
176,BUENOS AIRES,Maiz,Quequen,5,2020.0,33836.0,True,False,False,,False,True,False
177,BUENOS AIRES,Maiz,Quequen,6,2015.0,41059.490000000005,True,True,True,8893434.0,True,True,False
178,BUENOS AIRES,Maiz,Quequen,6,2016.0,56606.56,True,False,False,10147679.0,True,True,False
179,BUENOS AIRES,Maiz,Quequen,6,2017.0,55565.130000000005,True,True,False,12955509.0,True,True,False
180,BUENOS AIRES,Maiz,Quequen,6,2018.0,45216.07,True,False,False,12770903.0,True,True,False
181,BUENOS AIRES,Maiz,Quequen,6,2019.0,101425.08,True,True,True,16770895.0,True,True,False
182,BUENOS AIRES,Maiz,Quequen,6,2020.0,48846.0,True,False,False,,False,True,False
183,BUENOS AIRES,Maiz,Quequen,7,2015.0,105655.32999999999,True,True,True,8893434.0,True,True,False
184,BUENOS AIRES,Maiz,Quequen,7,2016.0,188586.15000000002,True,False,False,10147679.0,True,True,False
185,BUENOS AIRES,Maiz,Quequen,7,2017.0,166109.62000000002,True,True,False,12955509.0,True,True,False
186,BUENOS AIRES,Maiz,Quequen,7,2018.0,209215.46000000002,True,False,False,12770903.0,True,True,False
187,BUENOS AIRES,Maiz,Quequen,7,2019.0,292752.74,True,True,True,16770895.0,True,True,False
188,BUENOS AIRES,Maiz,Quequen,7,2020.0,294898.22,True,False,False,,False,True,False
189,BUENOS AIRES,Maiz,Quequen,8,2015.0,14575.049999999997,True,True,True,8893434.0,True,True,False
190,BUENOS AIRES,Maiz,Quequen,8,2016.0,83581.98999999998,True,False,False,10147679.0,True,True,False
191,BUENOS AIRES,Maiz,Quequen,8,2017.0,63881.31,True,True,False,12955509.0,True,True,False
192,BUENOS AIRES,Maiz,Quequen,8,2018.0,128667.66,True,False,False,12770903.0,True,True,False
193,BUENOS AIRES,Maiz,Quequen,8,2019.0,119718.84999999996,True,True,True,16770895.0,True,True,False
194,BUENOS AIRES,Maiz,Quequen,8,2020.0,86980.0,True,False,False,,False,True,False
195,BUENOS AIRES,Maiz,Quequen,9,2015.0,14712.459999999997,True,True,True,8893434.0,True,True,False
196,BUENOS AIRES,Maiz,Quequen,9,2016.0,107674.78,True,False,False,10147679.0,True,True,False
197,BUENOS AIRES,Maiz,Quequen,9,2017.0,69505.54000000001,True,True,False,12955509.0,True,True,False
198,BUENOS AIRES,Maiz,Quequen,9,2018.0,116944.90000000001,True,False,False,12770903.0,True,True,False
199,BUENOS AIRES,Maiz,Quequen,9,2019.0,179514.76999999996,True,True,True,16770895.0,True,True,False
200,BUENOS AIRES,Maiz,Quequen,9,2020.0,14400.0,True,False,False,,False,True,False
201,BUENOS AIRES,Maiz,Quequen,10,2015.0,19959.14,True,True,True,8893434.0,True,True,False
202,BUENOS AIRES,Maiz,Quequen,10,2016.0,164185.61999999997,True,False,False,10147679.0,True,True,False
203,BUENOS AIRES,Maiz,Quequen,10,2017.0,79962.53999999998,True,True,False,12955509.0,True,True,False
204,BUENOS AIRES,Maiz,Quequen,10,2018.0,78682.1,True,False,False,12770903.0,True,True,False
205,BUENOS AIRES,Maiz,Quequen,10,2019.0,198460.13000000003,True,True,True,16770895.0,True,True,False
206,BUENOS AIRES,Maiz,Quequen,11,2015.0,8370.380000000001,True,True,True,8893434.0,True,True,False
207,BUENOS AIRES,Maiz,Quequen,11,2016.0,50297.420000000006,True,False,False,10147679.0,True,True,False
208,BUENOS AIRES,Maiz,Quequen,11,2017.0,61476.36,True,True,False,12955509.0,True,True,False
209,BUENOS AIRES,Maiz,Quequen,11,2018.0,55507.54,True,False,False,12770903.0,True,True,False
210,BUENOS AIRES,Maiz,Quequen,11,2019.0,106987.10999999999,True,True,True,16770895.0,True,True,False
211,BUENOS AIRES,Maiz,Quequen,12,2015.0,1829.999999999999,True,True,True,8893434.0,True,True,False
212,BUENOS AIRES,Maiz,Quequen,12,2016.0,30742.839999999997,True,False,False,10147679.0,True,True,False
213,BUENOS AIRES,Maiz,Quequen,12,2017.0,75089.11,True,True,False,12955509.0,True,True,False
214,BUENOS AIRES,Maiz,Quequen,12,2018.0,83728.76999999997,True,False,False,12770903.0,True,True,False
215,BUENOS AIRES,Maiz,Quequen,12,2019.0,53506.39000000001,True,True,True,16770895.0,True,True,False
216,BUENOS AIRES,Maiz,Rosario N,1,2015.0,30.69,True,True,True,8893434.0,True,False,False
217,BUENOS AIRES,Maiz,Rosario N,1,2016.0,2057.3,True,False,False,10147679.0,True,False,False
218,BUENOS AIRES,Maiz,Rosario N,1,2017.0,2327.87,True,True,False,12955509.0,True,False,False
219,BUENOS AIRES,Maiz,Rosario N,1,2018.0,1075.1100000000006,True,False,False,12770903.0,True,False,False
220,BUENOS AIRES,Maiz,Rosario N,1,2019.0,2933.19,True,True,True,16770895.0,True,False,False
221,BUENOS AIRES,Maiz,Rosario N,1,2020.0,13260.0,True,False,False,,False,False,False
222,BUENOS AIRES,Maiz,Rosario N,2,2015.0,983.08,True,True,True,8893434.0,True,False,False
223,BUENOS AIRES,Maiz,Rosario N,2,2016.0,23902.39,True,False,False,10147679.0,True,False,False
224,BUENOS AIRES,Maiz,Rosario N,2,2017.0,33600.36,True,True,False,12955509.0,True,False,False
225,BUENOS AIRES,Maiz,Rosario N,2,2018.0,12870.01,True,False,False,12770903.0,True,False,False
226,BUENOS AIRES,Maiz,Rosario N,2,2019.0,5322.47,True,True,True,16770895.0,True,False,False
227,BUENOS AIRES,Maiz,Rosario N,2,2020.0,3000.0,True,False,False,,False,False,False
228,BUENOS AIRES,Maiz,Rosario N,3,2015.0,4154.42,True,True,True,8893434.0,True,False,False
